batch_order,filename,scene_group,selection_score,selection_reason,detection_count_low,detection_count_standard,confidence_mean,confidence_median,low_confidence_fraction,small_face_fraction,minimum_box_area_fraction,crowding_iou_fraction,ood_score,min_phash_distance_to_accepted,brightness_mean,contrast_std,blur_laplacian_variance,dark_fraction,bright_fraction,phash_hex,sha256
18,20260729_095337(0).jpg,scene-0014,0.5996428571428571,dusuk_guven;ortusen_yuzler;mevcut_etiketlerden_gorsel_olarak_uzak,20,10,0.3972657322883606,0.3638310432434082,0.5,0.0,0.046086400747299194,0.13333333333333333,0.54829012599683,26,103.7433369954427,49.95091660092111,1633.1313130236201,0.007671356201171875,0.0027783711751302085,360e3af2018a7fa5,359a66c76bb38dd6a02a35fa6a755c193a280b9b04a32ccf746b5e46e0c94d52
19,20260729_102620.jpg,scene-0031,0.5959821428571429,kucuk_uzak_yuzler;ortusen_yuzler,20,10,0.5836107134819031,0.511924147605896,0.5,0.1,0.0019040188053622842,0.06666666666666667,0.6206972905204686,22,91.47211201985677,47.329114291975806,352.08099393021257,0.000736236572265625,0.008747100830078125,1e60a252c8b437ef,d232bbd70bf4ca070fb94740449feb97453ba46aa5ebead8bc6aebfc54a38500
20,20260729_095125.jpg,scene-0011,0.5945982142857142,kucuk_uzak_yuzler;aykiri_aydinlatma_netlik_veya_kadraj;mevcut_etiketlerden_gorsel_olarak_uzak,34,22,0.6580632925033569,0.7342504262924194,0.35294117647058826,0.7727272727272727,0.002482743700966239,0.03463203463203463,1.1613182346513278,24,108.47943623860677,61.337058273235606,443.1568205174456,0.058110555013020836,0.005114237467447917,390cb4d7e6384699,40d3ee645207988fccdfa505785702c1bacfa5b6de64131e9b41dc48baee4623
21,20260729_095507.jpg,scene-0016,0.5775892857142857,kucuk_uzak_yuzler,61,32,0.5768656730651855,0.5419399738311768,0.47540983606557374,0.21875,0.0011383651290088892,0.018145161290322582,0.5143705028417104,20,99.19512049357097,48.46547589641301,1235.0984124798367,0.007979075113932291,0.028806050618489582,63661a1aa2a67cdc,eb8e55c0263043ad80370a687a6020ee0378fcdcf881ac00423a1666b96ecf45
22,20260729_095156.jpg,scene-0012,0.5666071428571429,kalabalik_sahne;aykiri_aydinlatma_netlik_veya_kadraj,67,42,0.6166291236877441,0.5831301212310791,0.373134328358209,0.047619047619047616,0.0019879667088389397,0.012775842044134728,0.8901133435758569,22,111.90981547037761,61.33969486547103,234.19761656876653,0.014521280924479166,0.001338958740234375,2e5585ea6ad4898b,e85bf1bc0ff97d08d4bad463efdd9435c88d2b8853dd79a7c7bee9eac93b5a2d
23,20260729_092528.jpg,scene-0007,0.5436160714285714,dusuk_guven;ortusen_yuzler,26,5,0.6060650944709778,0.6459238529205322,0.8076923076923077,0.0,0.01227032020688057,0.1,0.7050094078241326,22,97.21720377604167,63.46389328816538,1016.0665420527004,0.0074462890625,0.043248494466145836,68791a5f8c91b1a5,7ab9f20384cae1e764a439586b6c031febda26f897a3f50203571e5eedf7c69f
24,20260729_092524.jpg,scene-0006,0.5384375,dusuk_guven;ortusen_yuzler;mevcut_etiketlerden_gorsel_olarak_uzak,16,2,0.6054681539535522,0.6054681539535522,0.875,0.0,0.04095134511590004,1.0,0.5954711223028875,24,96.29370371500652,60.633747687836546,791.9120916381099,0.004629770914713542,0.04194513956705729,416af4bdd2998193,fab02070791fafc64d778e1d5873dd419bca10c7d1566293e6d480989c15a28e
25,20260729_102919.jpg,scene-0035,0.5339732142857143,mevcut_etiketlerden_gorsel_olarak_uzak,9,4,0.5594334006309509,0.523469865322113,0.5555555555555556,0.0,0.009437913075089455,0.0,0.7685127801229635,24,90.32077916463216,51.61969771993386,213.55456036003136,0.021962483723958332,0.016256968180338543,7e608b41e1f870f8,719ce28ab02d940c881698dc0709acd66482088dfeda3e88490ec2bf857b027c
26,20260729_095641.jpg,scene-0019,0.5070535714285714,kalabalik_sahne;kucuk_uzak_yuzler,75,39,0.6447436213493347,0.5746073126792908,0.48,0.1282051282051282,0.0013540673535317183,0.01349527665317139,0.5213825175343723,16,101.65070978800456,49.06297857839237,1261.0227594445703,0.007935841878255209,0.027262369791666668,199972c6c6d4c1f1,e64ca1b9d71918b5aa28bf127b86acf63e2bc7f9dfde97288870d5506e67ed77
27,20260729_102539.jpg,scene-0029,0.5028125,kucuk_uzak_yuzler;ortusen_yuzler;aykiri_aydinlatma_netlik_veya_kadraj,7,5,0.5185117721557617,0.3422887325286865,0.2857142857142857,0.2,0.002137822797521949,0.3,1.0026691232977796,20,105.57269032796223,42.5407813376018,204.00222997273588,0.0,0.0011431376139322917,7721a973b03031bd,a5231408d95143fbe879e9a173bd1c97e71df5e1203870b8dcece9dab9b889ad
28,20260729_092642.jpg,scene-0010,0.5002678571428573,kucuk_uzak_yuzler;aykiri_aydinlatma_netlik_veya_kadraj,17,9,0.6970106959342957,0.707115113735199,0.47058823529411764,0.1111111111111111,0.0008434552582912147,0.027777777777777776,1.946920140441856,16,100.0250358581543,68.82180624406381,773.3704190380704,0.0787506103515625,0.0702985127766927,08e31a7f7716c981,ef4e11e9d12564f9b579f6f4bbcc89090c0242fac38b1995d74902da5c1011d1
29,20260729_095845(0).jpg,scene-0020,0.4982142857142857,sahne_cesitliligi,37,20,0.5822529196739197,0.5620970726013184,0.4594594594594595,0.05,0.002822939772158861,0.03684210526315789,0.5326844442479324,14,101.62716420491536,51.08500452279285,908.0001590932758,0.0031064351399739585,0.035648345947265625,04048a6b3676fcfc,217c2da8d117c972c513543839cbd6039d3aaca4894f0fb30f4893fc71785e4d
30,20260729_092508.jpg,scene-0004,0.49330357142857145,ortusen_yuzler;aykiri_aydinlatma_netlik_veya_kadraj,6,2,0.6656068563461304,0.6656068563461304,0.6666666666666666,0.0,0.023632289841771126,1.0,1.33960385256118,20,93.18929799397786,65.12422105717641,1967.469996190611,0.03649139404296875,0.043025970458984375,31b83e2f3f819095,8516002403538725b574d256b38b02b4ecf28775abf8eb7c8e83fe27a0a4d095
31,20260729_102304.jpg,scene-0024,0.4920982142857143,kucuk_uzak_yuzler;ortusen_yuzler;mevcut_etiketlerden_gorsel_olarak_uzak,11,9,0.5473026037216187,0.4889097511768341,0.18181818181818182,0.1111111111111111,0.0028112658765167,0.08333333333333333,0.7462830690890704,24,78.43568547566731,49.722275707499385,284.9694296479749,0.013623555501302084,0.009939829508463541,00d57d3d94866cea,0d6d00b3dbda1798bb6d2f6f33bdf9f7fb657d918e5c0c1fa6d0d6c30b7494df
32,20260729_092532.jpg,scene-0008,0.4429017857142858,dusuk_guven;aykiri_aydinlatma_netlik_veya_kadraj,11,3,0.6083186268806458,0.5626232624053955,0.7272727272727273,0.0,0.010806450620293617,0.0,1.26742391938468,20,103.84767023722331,62.17779655830731,213.46441363158928,0.032857259114583336,0.03995513916015625,35db2e015d13f185,c1f63d9790a32ccc1552068e2e8d6a82413b9637ce31b0b92072e0979fa06063
33,20260729_092623.jpg,scene-0009,0.4349553571428572,kucuk_uzak_yuzler;aykiri_aydinlatma_netlik_veya_kadraj,18,10,0.6523558497428894,0.6898375153541565,0.4444444444444444,0.1,0.0021419357508420944,0.0,1.6795214338141287,8,100.3218625386556,67.84469255871097,698.5758245582547,0.052043914794921875,0.07875569661458333,24eca21b5736adc1,d951837e0add6573a8028961cd38b15d947f0dbdcc90f2820e4b2ff60c3364e0
34,20260729_102330.jpg,scene-0026,0.21531250000000002,sahne_cesitliligi,5,3,0.718900203704834,0.7039252519607544,0.4,0.0,0.012451503425836563,0.0,0.7411696684013607,18,86.41430918375652,48.915288000863136,270.6794620335937,0.0001373291015625,0.008668263753255209,26181929e6d757c3,4751150503c5c2f966c8c9d7aa7a9b8d301d51f2aa514b03d154010942f3c811
35,20260729_102200(0).jpg,scene-0022,0.7688392857142858,dusuk_guven;kucuk_uzak_yuzler;ortusen_yuzler,21,8,0.4941750168800354,0.4748188853263855,0.6190476190476191,1.0,0.0022336982656270266,0.07142857142857142,1.499566255346531,22,70.12597274780273,58.10779261597109,715.1799935694368,0.13070042928059897,0.00823974609375,68d835f0c64743a7,136a793e1531cdd53c3f3e0eae371c7b9a7c96d50513de994479fd2a1206aa8a
36,20260729_102158.jpg,scene-0022,0.7238392857142858,dusuk_guven;kucuk_uzak_yuzler;aykiri_aydinlatma_netlik_veya_kadraj,24,11,0.4390493333339691,0.4021434485912323,0.5416666666666666,1.0,0.0019898954778909683,0.05454545454545454,1.6711446810001669,16,61.849290211995445,54.72899553899804,526.1216314738704,0.1380335489908854,0.004430135091145833,2bf9d1a5d41825c3,c340fbaa1b72d38399e9e53e7135c8736452b6cd7b4eb2c19c597c393c19ef00
37,20260729_102156.jpg,scene-0022,0.7229017857142858,dusuk_guven;kucuk_uzak_yuzler;ortusen_yuzler,15,6,0.4480924904346466,0.43798723816871643,0.6,1.0,0.0017030044691637158,0.06666666666666667,1.7169133255182207,20,60.37363306681315,52.75789360032902,537.9463784171179,0.1133588155110677,0.004002888997395833,52c9a7849a1a2dd7,01c0bd974116d97732f3cb3ecd8eef35c20244f2a0b279b87685dcc867fd707d
38,20260729_103743.jpg,scene-0038,0.7185714285714286,dusuk_guven;aykiri_aydinlatma_netlik_veya_kadraj;mevcut_etiketlerden_gorsel_olarak_uzak,73,27,0.6075976490974426,0.5496183037757874,0.6301369863013698,0.0,0.0032593682408332825,0.017094017094017096,0.9335802995410509,24,117.55225372314453,55.55227571279322,363.69242780678724,0.0,0.04033025105794271,776ac29c8188e1d7,ff11dfd4ba2dac3fe791b905d7d0f0a81f1f62b74426f1be3b3bd4ef76f0ff37
39,20260729_103802(0).jpg,scene-0038,0.7139732142857143,dusuk_guven;mevcut_etiketlerden_gorsel_olarak_uzak,69,24,0.499651700258255,0.4672859311103821,0.6521739130434783,0.0,0.007501207757741213,0.014492753623188406,0.686505513028862,24,82.17404683430989,55.4418214826355,218.9306181866882,0.005738576253255208,0.015476226806640625,15fa04fb26816e35,72d22264a76070658fb9de93e2779da5f9597a063f0784b60a1a6f4d8c7ebde5
40,20260729_103802.jpg,scene-0038,0.7139732142857143,dusuk_guven;aykiri_aydinlatma_netlik_veya_kadraj;mevcut_etiketlerden_gorsel_olarak_uzak,61,25,0.520127534866333,0.4498670995235443,0.5901639344262295,0.0,0.006279901601374149,0.013333333333333334,0.9176012201648365,22,84.17139561971028,55.53587490537821,115.37633169321958,0.0036379496256510415,0.017759958902994793,50bb54ab26e12e55,f0081f67513ab591bd34f58c4f68b9fbc24a0c4144100534d96c283443a7ab78
41,20260729_102849(0).jpg,scene-0034,0.6615178571428573,dusuk_guven;ortusen_yuzler;aykiri_aydinlatma_netlik_veya_kadraj,14,5,0.5680270195007324,0.5111690759658813,0.6428571428571429,0.0,0.00749181117862463,0.1,1.25922963640613,24,90.3758544921875,52.23733108255596,145.6740641612495,0.03777949015299479,0.03174718221028646,0be0f6fab38151e0,7c9c66dc252ac0e4ce7dd753b3a176011d3d32f36232b62a11cf12af311c838c
42,20260729_103839(0).jpg,scene-0039,0.6614732142857143,kalabalik_sahne,82,39,0.5745524764060974,0.544489324092865,0.524390243902439,0.07692307692307693,0.002442157594487071,0.010796221322537112,0.7376676258697022,20,97.33723322550456,63.49706849306605,1260.9476993164405,0.0116729736328125,0.0385284423828125,0613e817ede984cd,6b1b35282c7a56f37bba0114378692c8ad703a42600771127ce12e3a8102d689
43,20260729_103839.jpg,scene-0039,0.6600446428571429,dusuk_guven;kalabalik_sahne,83,34,0.554044246673584,0.46003565192222595,0.5903614457831325,0.0,0.003747612936422229,0.012477718360071301,0.7006730456692272,20,98.92168680826823,62.31373057625267,1325.907684089148,0.004830678304036458,0.03575261433919271,2e03e813e9aba4cd,9c63bf116c1d40d87e3481a7d70c8fef9d1bc675132aa5b1cefa192d69c6c820
44,20260729_103901.jpg,scene-0040,0.6548660714285715,kalabalik_sahne;mevcut_etiketlerden_gorsel_olarak_uzak,231,128,0.6438566446304321,0.6856269240379333,0.4458874458874459,0.0859375,0.0008547905599698424,0.005536417322834645,0.844759765604325,24,85.93173726399739,61.064840004564175,1307.0854703771502,0.033170064290364586,0.009142557779947916,6d3ac922c9cac1cd,54a989c0e2b8ee761b1a2fc5886394421c4fcbc156e76f4e764e76b10320406d
45,20260729_095602.jpg,scene-0018,0.6534375000000001,dusuk_guven;kucuk_uzak_yuzler,55,19,0.5169888734817505,0.4212832450866699,0.6545454545454545,0.9473684210526315,0.0009706416167318821,0.011695906432748537,0.4851669196958962,22,103.00807189941406,52.23868622964115,1309.6383451378524,0.011747996012369791,0.0253753662109375,705244de44f14ff1,661524ccd63e33bd7e3ece246e3dbe337b86fecd3f29458bb46cef5b10b6790c
46,20260729_103854.jpg,scene-0040,0.6534375,kalabalik_sahne;kucuk_uzak_yuzler;mevcut_etiketlerden_gorsel_olarak_uzak,235,142,0.63282710313797,0.6176230907440186,0.39574468085106385,0.38028169014084506,0.0016893615247681737,0.005394066526820497,0.8544260000865539,24,91.2781130472819,60.61787116697076,1825.5247306806075,0.032170613606770836,0.009493509928385416,542af06a5b9bc991,3de0eb3acc84ccf003db3094f80005f140f5e9a34659efb2001f097e1d50e016
47,20260729_103852.jpg,scene-0040,0.648794642857143,kalabalik_sahne;kucuk_uzak_yuzler;aykiri_aydinlatma_netlik_veya_kadraj,235,131,0.6644062995910645,0.7140157222747803,0.4425531914893617,0.46564885496183206,0.0013729039346799254,0.004462712859659424,0.8740529265444945,22,88.44873809814453,59.54098340315584,1476.7655040677373,0.03597259521484375,0.007320404052734375,492af14a539bd991,9aba0fcededfedec9e89de679a61e9197fe893023f76f53d5995a8f1b669a9ae
48,20260729_102856.jpg,scene-0034,0.6462053571428571,kucuk_uzak_yuzler;ortusen_yuzler;mevcut_etiketlerden_gorsel_olarak_uzak,15,6,0.6006744503974915,0.5243548154830933,0.6,0.16666666666666666,0.002969604916870594,0.06666666666666667,0.6264901201931815,26,97.32070541381836,50.54357735790598,267.73056316807754,0.013402303059895834,0.025155385335286457,6b865af6ad9141e0,d0c09eeb74818ed6dc2fa2af5320b597c08c9a8ebd0b67e3def88f222e259a3c
49,20260729_095603.jpg,scene-0018,0.6377232142857142,dusuk_guven;kucuk_uzak_yuzler,49,21,0.49107179045677185,0.4367924630641937,0.5714285714285714,1.0,0.0009957825532183051,0.01904761904761905,0.36327895700504587,22,102.85508982340495,50.779936227827974,562.271425409086,0.010711669921875,0.022275288899739582,60724fde0ca15fa1,fd47af101852b5f1429984853d81ffa63e211da057b4e17e6853248c19113e18
50,20260729_103522.jpg,scene-0036,0.635,dusuk_guven;ortusen_yuzler,7,2,0.4954829812049866,0.4954829812049866,0.7142857142857143,0.0,0.00822638813406229,1.0,0.8319959569807892,22,97.51678848266602,53.13367019023621,430.88042490639623,0.052548726399739586,0.006777445475260417,0d65803e7e3e0d99,b3fbee0fc9fb8a410eb55303630ff89bae92341e5da272731b29fdd41f30c045
51,20260729_103834.jpg,scene-0039,0.6313839285714284,dusuk_guven;kalabalik_sahne;mevcut_etiketlerden_gorsel_olarak_uzak,91,37,0.5832548141479492,0.5800350904464722,0.5934065934065934,0.02702702702702703,0.0027524898760020733,0.010510510510510511,0.36792445347334507,24,82.16689046223958,55.28160585854949,889.1328094734085,0.012662251790364584,0.00998687744140625,30e012fc39a6f665,858f71270b54e711a4f304ac95739b9219904e8ce63063258bd1e3659a812def
52,20260729_102223.jpg,scene-0023,0.6285714285714287,ortusen_yuzler;aykiri_aydinlatma_netlik_veya_kadraj,18,9,0.5041948556900024,0.4531577527523041,0.5,0.0,0.003202832769602537,0.1111111111111111,1.3946104657851977,22,81.00922520955403,54.906374734262215,575.7088029197947,0.08874130249023438,0.00496673583984375,6034329eb8691fc7,bda8aa3f7e93e2a132d28f631045746f60900a7c1c4690a25502027c64caa88e
53,20260729_095601.jpg,scene-0018,0.6254910714285714,dusuk_guven;kucuk_uzak_yuzler;mevcut_etiketlerden_gorsel_olarak_uzak,44,12,0.5911085605621338,0.5968242883682251,0.7272727272727273,0.9166666666666666,0.001462662243284285,0.0,0.49081132293810953,24,105.46299870808919,52.99442217883062,1349.893716119809,0.008767445882161459,0.027070363362630207,500276cf649167f9,2e7d9bae3cb4c415ee77ec35b5e5ad7172d701ad5f6ec715d10b9f0c5c2dc988
54,20260729_095543(0).jpg,scene-0017,0.6173214285714287,dusuk_guven;kucuk_uzak_yuzler,41,17,0.520481526851654,0.3857870101928711,0.5853658536585366,0.35294117647058826,0.0016658413223922253,0.022058823529411766,0.3596385200237199,22,98.78531010945638,52.599830570281306,934.4261989675748,0.009644826253255209,0.03134791056315104,4cc62acab6c660f9,1830ab5159630cf8d3dba5beac842948ea2159208e0701df07c8e2803db013ad
55,20260729_102904(1).jpg,scene-0034,0.6168303571428572,dusuk_guven;ortusen_yuzler;mevcut_etiketlerden_gorsel_olarak_uzak,12,5,0.49267882108688354,0.45065850019454956,0.5833333333333334,0.0,0.005500074476003647,0.1,0.6852621959117875,24,95.56433741251628,50.12932162432703,167.68328687994742,0.004917144775390625,0.015850067138671875,0e7c7aff418141f0,929646aa39565b9dc2cddc01f8e6413ccfbd56525c5d6b8ce2c7e91550c7c675
56,20260729_103536.jpg,scene-0036,0.6126785714285714,ortusen_yuzler;aykiri_aydinlatma_netlik_veya_kadraj,8,4,0.5705908536911011,0.5419288873672485,0.5,0.0,0.04290458932518959,0.3333333333333333,1.3038962199625723,22,97.94036483764648,62.52535836240776,245.08626773828595,0.0684814453125,0.011887868245442709,5fad30181b62ddd0,4b7d86f1aa5c8b0b37828181e92e7b058d7c7b921c082a2abc71cc39e1c126f6
57,20260729_103551(0).jpg,scene-0037,0.6109374999999999,dusuk_guven;kucuk_uzak_yuzler,8,3,0.3168525993824005,0.2864503562450409,0.625,0.3333333333333333,0.002516311826184392,0.0,0.6838533834819371,22,105.36691157023112,51.032850647092296,342.33090333993545,0.024262746175130207,0.005334218343098958,64a3b964863979c5,8014ca38752c922b0d110dab1f58e09394047ced4f5722c70a974f902f16d95b
58,20260729_095552.jpg,scene-0017,0.6082589285714286,dusuk_guven;kucuk_uzak_yuzler,33,10,0.512096643447876,0.49837687611579895,0.696969696969697,0.5,0.0010507528204470873,0.0,0.7259306420877487,18,94.15259424845378,56.5591985078559,917.8786859108491,0.027762095133463543,0.03826777140299479,5e7207c2de868197,044645d8db270ae3672957e2ce4055576bb44e3587b986d565182c41d3e2a440
59,20260729_102802.jpg,scene-0032,0.6049553571428572,dusuk_guven;ortusen_yuzler;aykiri_aydinlatma_netlik_veya_kadraj,11,6,0.41219213604927063,0.34880882501602173,0.45454545454545453,0.0,0.00472805742174387,0.06666666666666667,0.9582925026089081,22,94.47251383463542,55.30501736371853,308.0276942215326,0.03208160400390625,0.039189656575520836,58eed4dae7d90180,57c23aec88ab72e2cf863ef3f1585cf45d14527baa5b309b3ecc298e843f3da2
60,20260729_095546.jpg,scene-0017,0.6024107142857144,kucuk_uzak_yuzler,39,19,0.5291072726249695,0.5288357734680176,0.5128205128205128,0.21052631578947367,0.0017482353141531348,0.023391812865497075,0.5811163681599278,20,96.64108403523763,48.91959178225856,319.4641996063535,0.009418487548828125,0.026522318522135418,62529aaab6c478bc,18737281dbcd4b9d361c9a2c4899a4b732347a3922f018c3e7631be60235c8b7
