batch_order,filename,scene_group,selection_score,workload_adjusted_score,selection_reason,detection_count_low,detection_count_standard,phash_hex,sha256
22,20260729_092528.jpg,scene-0007,0.5436160714285714,0.5436160714285714,dusuk_guven;ortusen_yuzler,26,5,68791a5f8c91b1a5,7ab9f20384cae1e764a439586b6c031febda26f897a3f50203571e5eedf7c69f
23,20260729_092524.jpg,scene-0006,0.5384375,0.5384375,dusuk_guven;ortusen_yuzler;mevcut_etiketlerden_gorsel_olarak_uzak,16,2,416af4bdd2998193,fab02070791fafc64d778e1d5873dd419bca10c7d1566293e6d480989c15a28e
24,20260729_102919.jpg,scene-0035,0.5339732142857143,0.5339732142857143,mevcut_etiketlerden_gorsel_olarak_uzak,9,4,7e608b41e1f870f8,719ce28ab02d940c881698dc0709acd66482088dfeda3e88490ec2bf857b027c
25,20260729_103907(0).jpg,scene-0040,0.6081696428571428,0.5081696428571428,kalabalik_sahne;mevcut_etiketlerden_gorsel_olarak_uzak,154,80,1309db11b399b1b3,1d6f8d5f192ceb9b91698282b37eb9b12cabfd8c0bae539fdeb4b3d1e04883d1
26,20260729_095641.jpg,scene-0019,0.5070535714285714,0.5070535714285714,kalabalik_sahne;kucuk_uzak_yuzler,75,39,199972c6c6d4c1f1,e64ca1b9d71918b5aa28bf127b86acf63e2bc7f9dfde97288870d5506e67ed77
27,20260729_102539.jpg,scene-0029,0.5028125,0.5028125,kucuk_uzak_yuzler;ortusen_yuzler;aykiri_aydinlatma_netlik_veya_kadraj,7,5,7721a973b03031bd,a5231408d95143fbe879e9a173bd1c97e71df5e1203870b8dcece9dab9b889ad
28,20260729_092642.jpg,scene-0010,0.5002678571428573,0.5002678571428573,kucuk_uzak_yuzler;aykiri_aydinlatma_netlik_veya_kadraj,17,9,08e31a7f7716c981,ef4e11e9d12564f9b579f6f4bbcc89090c0242fac38b1995d74902da5c1011d1
29,20260729_095845(0).jpg,scene-0020,0.4982142857142857,0.4982142857142857,sahne_cesitliligi,37,20,04048a6b3676fcfc,217c2da8d117c972c513543839cbd6039d3aaca4894f0fb30f4893fc71785e4d
30,20260729_092508.jpg,scene-0004,0.49330357142857145,0.49330357142857145,ortusen_yuzler;aykiri_aydinlatma_netlik_veya_kadraj,6,2,31b83e2f3f819095,8516002403538725b574d256b38b02b4ecf28775abf8eb7c8e83fe27a0a4d095
31,20260729_102304.jpg,scene-0024,0.4920982142857143,0.4920982142857143,kucuk_uzak_yuzler;ortusen_yuzler;mevcut_etiketlerden_gorsel_olarak_uzak,11,9,00d57d3d94866cea,0d6d00b3dbda1798bb6d2f6f33bdf9f7fb657d918e5c0c1fa6d0d6c30b7494df
32,20260729_092532.jpg,scene-0008,0.4429017857142858,0.4429017857142858,dusuk_guven;aykiri_aydinlatma_netlik_veya_kadraj,11,3,35db2e015d13f185,c1f63d9790a32ccc1552068e2e8d6a82413b9637ce31b0b92072e0979fa06063
33,20260729_092623.jpg,scene-0009,0.4349553571428572,0.4349553571428572,kucuk_uzak_yuzler;aykiri_aydinlatma_netlik_veya_kadraj,18,10,24eca21b5736adc1,d951837e0add6573a8028961cd38b15d947f0dbdcc90f2820e4b2ff60c3364e0
34,20260729_102330.jpg,scene-0026,0.21531250000000002,0.21531250000000002,sahne_cesitliligi,5,3,26181929e6d757c3,4751150503c5c2f966c8c9d7aa7a9b8d301d51f2aa514b03d154010942f3c811
